,,,,,,,,,
,2483,白酒,bái jiǔ,Chinese Baijiu; liquor and spirits,6670,179961,"0,002115%", ,5
,2484,拜访,bàifǎng,visit,7542,154531,"0,001816%",6,5
,2485,扮演,bànyǎn,Play the role,3068,469197,"0,005514%",6,5
,2486,包围,bāowéi,Surround,4917,264978,"0,003114%",6,5
,2487,包装,bāozhuāng,pack; put up; make up,2000,754429,"0,008867%",6,5
,2488,保卫,bǎowèi,Defend,3530,397426,"0,004671%",6,5
,2489,保养,bǎoyǎng,maintain,4656,283410,"0,003331%",6,5
,2490,报答,bàodá,reciprocate; pay back; repay,13902,68017,"0,000799%",6,5
,2491,报警,bàojǐng,call the police,2782,522765,"0,006144%",6,5
,2492,抱怨,bàoyuàn,Complain,2996,481121,"0,005655%",5,5
,2493,背包,bēi bāo,backpack; knapsack; rucksack; infantry pack,8166,139181,"0,001636%", ,5
,2494,悲剧,bēi jù,tragedy,2786,522352,"0,006139%", ,5
,2495,悲伤,bēi shāng,sad; sorrowful,3422,414530,"0,004872%", ,5
,2496,北极,běijí,arctic,14317,65177,"0,000766%",6,5
,2497,被动,bèidòng,passive,3954,345712,"0,004063%",6,5
,2498,本人,běnrén,oneself,1380,1094367,"0,012862%",6,5
,2499,鼻子,bízi,nose,3475,404622,"0,004755%",3,5
,2500,比方,bǐfāng,Example,12718,76885,"0,000904%",6,5
,2501,比重,bǐzhòng,specific gravity; proportion,2658,548369,"0,006445%",6,5
,2502,彼此,bǐcǐ,each other,1849,823113,"0,009674%",5,5
,2503,必需,bì xū,essential; indispensable,6764,177055,"0,002081%", ,5
,2504,毕竟,bìjìng,after all,1284,1186499,"0,013945%",5,5
,2505,闭幕,bì mù,close; conclude; lower the curtain,7944,144916,"0,001703%", ,5
,2506,闭幕式,bì mù shì,closing ceremony,13113,73838,"0,000868%", ,5
,2507,边境,biānjìng,border; frontier,5172,247928,"0,002914%",6,5
,2508,编辑,biānjí,edit,928,1654975,"0,019451%",5,5
,2509,变动,biàn dòng,change; alteration; variation,3266,436127,"0,005126%", ,5
,2510,便利,biànlì,facilitate,3514,399977,"0,004701%",6,5
,2511,便条,biàntiáo,Note,50030,7977,"0,000094%",6,5
,2512,便于,biànyú,Easy to,4455,298960,"0,003514%",6,5
,2513,宾馆,bīnguǎn,hotel,3488,402289,"0,004728%",2,5
,2514,饼干,bǐnggān,Biscuits,7939,145084,"0,001705%",4,5
,2515,病毒,bìngdú,virus,1406,1076702,"0,012654%",5,5
,2516,玻璃,bōli,Glass,1872,810934,"0,009531%",5,5
,2517,博客,bó kè,blog,—,—,—, ,5
,2518,博览会,bólǎnhuì,exposition,6468,187481,"0,002203%",6,5
,2519,博士,bóshì,doctor,2798,519324,"0,006104%",4,5
,2520,博物馆,bówùguǎn,Museum,3714,373951,"0,004395%",5,5
,2521,薄弱,bóruò,weak,6086,201080,"0,002363%",6,5
,2522,不顾,búgù,disregard,4094,330627,"0,003886%",6,5
,2523,不利,bú lì,unfavourable; disadvantageous; harmful; detrimental,2978,485090,"0,005701%", ,5
,2524,不耐烦,búnàifán,Impatient,10563,99333,"0,001167%",5,5
,2525,不幸,bú xìng,misfortune; unfortunat; unfortunately,2855,508580,"0,005977%", ,5
,2526,不易,bú yì,not easy; difficult; tough,—,—,—, ,5
,2527,补偿,bǔcháng,compensate,2613,558489,"0,006564%",6,5
,2528,补贴,bǔtiē,subsidy,2854,508875,"0,005981%",6,5
,2529,不曾,bù céng,never,4905,265744,"0,003123%", ,5
,2530,不得了,búdéliǎo,Very,7492,155847,"0,001832%",5,5
,2531,不敢当,bùgǎndāng,I really don’t deserve this.,31687,18791,"0,000221%",6,5
,2532,不良,bù liáng,bad; harmful; unhealthy,1869,812543,"0,009550%", ,5
,2533,不免,bùmiǎn,unavoidable,8509,131749,"0,001548%",6,5
,2534,不能不,bù néng bù,have to; cannot but,4974,261366,"0,003072%", ,5
,2535,不时,bùshí,now and then,3929,348513,"0,004096%",6,5
,2536,不停,bù tíng,without stop; non-stop,1647,914155,"0,010744%", ,5
,2537,不许,bù xǔ,not allow; must not; can’t,4590,287556,"0,003380%", ,5
,2538,不止,bùzhǐ,more than,3326,427963,"0,005030%",6,5
,2539,不足,bùzú,insufficient,797,1882454,"0,022124%",5,5
,2540,部位,bùwèi,part; section,2090,715653,"0,008411%",6,5
,2541,猜测,cāi cè,guess; conjecture; surmise,4478,296461,"0,003484%", ,5
,2542,裁判,cáipàn,Referee,2755,527641,"0,006201%",6,5
,2543,采购,cǎigòu,Purchase,1825,833329,"0,009794%",6,5
,2544,彩票,cǎipiào,lottery,4206,319835,"0,003759%",6,5
,2545,餐馆,cān guǎn,restaurant,6348,191710,"0,002253%", ,5
,2546,餐厅,cāntīng,Restaurant,2987,482765,"0,005674%",4,5
,2547,餐饮,cān yǐn,catering; repast,4438,301037,"0,003538%", ,5
,2548,草原,cǎo yuán,grasslands; prairie,4888,266492,"0,003132%", ,5
,2549,层次,céngcì,gradation; arrangement,2351,628327,"0,007385%",6,5
,2550,叉子,chāzi,Fork,36795,14451,"0,000170%",5,5
,2551,差别,chābié,difference,3028,473904,"0,005570%",6,5
,2552,差距,chājù,disparity; distance,1514,994583,"0,011689%",5,5
,2553,查询,chá xún,inquire; demand,2719,534568,"0,006283%", ,5
,2554,差一点儿,chā（yì）diǎnr,almost; nearly,73064,3488,"0,000041%", ,5
,2555,拆除,chāi chú,tear down; demolish; dismantle; remove,4729,278014,"0,003267%", ,5
,2556,产业,chǎnyè,industry,297,4020888,"0,047257%",6,5
,2557,长度,cháng dù,length; extent,4326,309135,"0,003633%", ,5
,2558,长寿,cháng shòu,long life; longevity,7917,145540,"0,001711%", ,5
,2559,尝试,chángshì,attempt,2028,744692,"0,008752%",6,5
,2560,厂长,chǎng zhǎng,factory director; plant manager,6790,176190,"0,002071%", ,5
,2561,场面,chǎngmiàn,scene,2791,521009,"0,006123%",6,5
,2562,倡导,chàngdǎo,Advocate,4703,280402,"0,003296%",6,5
,2563,超越,chāoyuè,Transcend,2590,562442,"0,006610%",6,5
,2564,车主,chē zhǔ,car owner,3577,390005,"0,004584%", ,5
,2565,称号,chēnghào,Title,3420,414776,"0,004875%",6,5
,2566,成本,chéngběn,cost,507,2683936,"0,031544%",6,5
,2567,成交,chéngjiāo,Deal,1433,1052014,"0,012364%",6,5
,2568,成效,chéngxiào,"Results, effects",3400,417671,"0,004909%",6,5
,2569,成语,chéngyǔ,idiom,14544,63883,"0,000751%",5,5
,2570,承办,chéngbàn,Undertake,5078,253937,"0,002984%",6,5
,2571,城里,chéng lǐ,inside the city; in town,6954,171004,"0,002010%", ,5
,2572,乘车,chéng chē,riding; ride,6637,181347,"0,002131%", ,5
,2573,乘客,chéng kè,passenger,2025,745482,"0,008762%", ,5
,2574,乘坐,chéngzuò,ride,3612,384380,"0,004518%",4,5
,2575,吃力,chīlì,Sweaty,11876,84638,"0,000995%",6,5
,2576,池子,chí zi,pond; pool,30517,20005,"0,000235%", ,5
,2577,冲动,chōngdòng,impulse,3082,466968,"0,005488%",6,5
,2578,冲突,chōngtū,conflict,1873,810346,"0,009524%",6,5
,2579,充足,chōngzú,adequate,3965,344342,"0,004047%",6,5
,2580,出版,chūbǎn,publish,1537,977776,"0,011492%",5,5
,2581,出差,chūchāi,A business travel,5646,220203,"0,002588%",4,5
,2582,出汗,chū hàn,sweat; sweating,12547,78200,"0,000919%", ,5
,2583,出于,chū yú,out of; start from; proceed from; stem,3091,465202,"0,005467%", ,5
,2584,初期,chū qī,prime; initial stage; early days,3442,410747,"0,004827%", ,5
,2585,除非,chúfēi,Unless,4040,335241,"0,003940%",5,5
,2586,除夕,chúxī,the New Year’s Eve,7415,157788,"0,001854%",5,5
,2587,厨房,chúfáng,Kitchen,3022,474443,"0,005576%",4,5
,2588,处罚,chǔ fá,punish; penalize; punishment,1831,831948,"0,009778%", ,5
,2589,处分,chǔfèn,prescription,5064,254694,"0,002993%",6,5
,2590,处在,chǔ zài,at; be in,3177,450522,"0,005295%", ,5
,2591,传达,chuándá,Convey,5174,247752,"0,002912%",6,5
,2592,传递,chuán dì,transmit; deliver; transfer,2970,486405,"0,005717%", ,5
,2593,传真,chuánzhēn,Fax,5096,252891,"0,002972%",4,5
,2594,窗帘,chuānglián,Window curtains,9485,114559,"0,001346%",5,5
,2595,创立,chuànglì,Found,6883,173198,"0,002036%",6,5
,2596,辞典,cí diǎn,dictionary,19800,40535,"0,000476%", ,5
,2597,辞职,cízhí,resign,3682,376945,"0,004430%",5,5
,2598,此后,cǐ hòu,after that; hereafter; henceforth,2413,606528,"0,007128%", ,5
,2599,此刻,cǐ kè,now; at the moment,3033,473576,"0,005566%", ,5
,2600,此时,cǐ shí,this moment; now,1052,1458467,"0,017141%", ,5
,2601,聪明,cōngming,clever,2014,750611,"0,008822%",3,5
,2602,从而,cóng’ér,thus,674,2150279,"0,025272%",5,5
,2603,从中,cóng zhōng,from; therefrom,3338,426137,"0,005008%", ,5
,2604,存款,cún kuǎn,deposit; bank savings,2117,704713,"0,008282%", ,5
,2605,达成,dáchéng,Reach,1700,883128,"0,010379%",6,5
,2606,答复,dáfù,Reply,4658,283396,"0,003331%",6,5
,2607,打扮,dǎban,dress up,4463,298108,"0,003504%",4,5
,2608,打包,dǎbāo,Pack,7601,153026,"0,001799%",6,5
,2609,打击,dǎjī,strike,1174,1307292,"0,015364%",6,5
,2610,打架,dǎjià,Fight,6313,192537,"0,002263%",6,5
,2611,打扰,dǎrǎo,Disturb,6358,191463,"0,002250%",4,5
,2612,大胆,dà dǎn,bold; daring; audacious; audacity,2939,491604,"0,005778%", ,5
,2613,大都,dà dōu,for the most part; mostly,3982,341973,"0,004019%", ,5
,2614,大纲,dà gāng,outline; main point; compendium,10884,95744,"0,001125%", ,5
,2615,大伙儿,dàhuǒr,you all; everybody,18857,43603,"0,000512%",6,5
,2616,大奖赛,dà jiǎng sài,grand prix,5423,232355,"0,002731%", ,5
,2617,大脑,dà nǎo,cerebrum; brain,3542,395863,"0,004653%", ,5
,2618,大事,dà shì,event; in a big way,2884,500051,"0,005877%", ,5
,2619,大厅,dà tīng,hall,3170,451795,"0,005310%", ,5
,2620,大象,dàxiàng,Elephant,10156,104753,"0,001231%",5,5
,2621,大熊猫,dà xióng māo,panda; giant panda,6808,175641,"0,002064%", ,5
,2622,大于,dà yú,be greater than; more than,3035,473475,"0,005565%", ,5
,2623,大致,dàzhì,roughly,4726,278321,"0,003271%",6,5
,2624,代价,dàijià,cost,2885,499640,"0,005872%",6,5
,2625,代理,dàilǐ,agent,2269,653214,"0,007677%",6,5
,2626,带有,dài yǒu,with; have; bear,—,—,—, ,5
,2627,贷款,dàikuǎn,extend credit to; provide a loan,625,2252168,"0,026470%",5,5
,2628,单一,dān yī,single; unitary; sole,3407,416150,"0,004891%", ,5
,2629,胆小,dǎn xiǎo,timid; cowardly,14790,62403,"0,000733%", ,5
,2630,蛋糕,dàngāo,Cake,2564,567842,"0,006674%",3,5
,2631,当场,dāngchǎng,On the spot,2734,532422,"0,006258%",6,5
,2632,当代,dāngdài,Contemporary,3086,466361,"0,005481%",6,5
,2633,当年,dāng nián,in those years; in those days,893,1706017,"0,020051%", ,5
,2634,当前,dāngqián,current,870,1745785,"0,020518%",6,5
,2635,当选,dāngxuǎn,be elected; come in,4014,337537,"0,003967%",6,5
,2636,到来,dào lái,arrival; advent,2053,734588,"0,008634%", ,5
,2637,倒是,dào shì,on the contrary; contrariwise; actually,2323,636741,"0,007484%", ,5
,2638,道德,dàodé,Morality,1239,1229736,"0,014453%",5,5
,2639,得了,dé le,stop it; hold it; got,2292,646502,"0,007598%", ,5
,2640,得以,dé yǐ,be able to,2460,590791,"0,006944%", ,5
,2641,等候,děnghòu,Wait,5193,246967,"0,002903%",6,5
,2642,等级,děngjí,grade; rank,1978,762037,"0,008956%",6,5
,2643,低于,dī yú,below; under,1352,1120931,"0,013174%", ,5
,2644,地带,dì dài,zone; district; region,3979,342459,"0,004025%", ,5
,2645,地形,dì xíng,terrain; topography; orographic,7605,152933,"0,001797%", ,5
,2646,地震,dìzhèn,earthquake,2457,591202,"0,006948%",5,5
,2647,递给,dì gěi,hand over; pass on,8286,136598,"0,001605%", ,5
,2648,典礼,diǎnlǐ,Ceremony,4611,285898,"0,003360%",6,5
,2649,点燃,diǎn rán,light; ignite; kindle,6121,199978,"0,002350%", ,5
,2650,电池,diànchí,Battery,2660,547757,"0,006438%",5,5
,2651,电饭锅,diàn fàn guō,rice cooker,—,—,—, ,5
,2652,电子版,diàn zǐ bǎn,electronic edition,34799,15932,"0,000187%", ,5
,2653,调动,diàodòng,transfer,3287,432821,"0,005087%",6,5
,2654,动机,dòngjī,motivation,4516,293645,"0,003451%",6,5
,2655,动手,dòngshǒu,DIY,3112,461619,"0,005425%",6,5
,2656,动态,dòngtài,dynamic,2328,634933,"0,007462%",6,5
,2657,动员,dòngyuán,mobilization,3181,449549,"0,005284%",6,5
,2658,豆制品,dòu zhì pǐn,bean products,19470,41511,"0,000488%", ,5
,2659,对立,duìlì,Opposition,6647,181011,"0,002127%",6,5
,2660,对应,duìyìng,Corresponding,3666,378596,"0,004450%",6,5
,2661,儿女,ér nǚ,sons and daughters; children,5799,212912,"0,002502%", ,5
,2662,耳朵,ěrduo,Ears,3227,442353,"0,005199%",3,5
,2663,二维码,èr wéi mǎ,QR code,—,—,—, ,5
,2664,发布,fābù,Release,650,2198728,"0,025841%",6,5
,2665,发觉,fājué,find,4524,292889,"0,003442%",6,5
,2666,发射,fāshè,launch,2425,602152,"0,007077%",6,5
,2667,发行,fāxíng,issue,793,1891298,"0,022228%",6,5
,2668,罚款,fákuǎn,forfeit; amerce; fine,2901,497469,"0,005847%",5,5
,2669,法规,fǎ guī,rule of law; statute; law,1316,1149368,"0,013508%", ,5
,2670,法制,fǎ zhì,legal system,2577,565366,"0,006645%", ,5
,2671,繁荣,fánróng,Boom,3127,459123,"0,005396%",5,5
,2672,返回,fǎn huí,return; backtrack; go back,2715,535573,"0,006295%", ,5
,2673,防治,fángzhì,Prevention and cure,1974,766257,"0,009006%",6,5
,2674,放大,fàngdà,enlarge,3923,349102,"0,004103%",6,5
,2675,放弃,fàngqì,give up,801,1877570,"0,022067%",4,5
,2676,分成,fēn chéng,divide into; separate into,4449,299669,"0,003522%", ,5
,2677,分解,fēnjiě,decompose,4935,263802,"0,003100%",6,5
,2678,分类,fēn lèi,classify; assort; classification; sort,2699,539397,"0,006339%", ,5
,2679,分离,fēn lí,separate; sever; dissociate; detachment,2125,701273,"0,008242%", ,5
,2680,分析,fēnxī,Analysis,221,4802670,"0,056445%",5,5
,2681,分享,fēn xiǎng,share; partake,467,2840136,"0,033380%", ,5
,2682,丰收,fēngshōu,Have bumper harvest,5567,224552,"0,002639%",6,5
,2683,风度,fēngdù,Manner,10321,102177,"0,001201%",6,5
,2684,风光,fēngguāng,Scenery,4482,295872,"0,003477%",6,5
,2685,疯狂,fēngkuáng,Insane,1677,894108,"0,010508%",5,5
,2686,服从,fúcóng,Obey,5669,219353,"0,002578%",6,5
,2687,幅度,fúdù,range; extent,1909,795171,"0,009346%",6,5
,2688,福利,fúlì,welfare,2606,560178,"0,006584%",6,5
,2689,辅助,fǔzhù,auxiliary,4154,323959,"0,003807%",6,5
,2690,负责人,fù zé rén,principal; person in charge,588,2366659,"0,027815%", ,5
,2691,附件,fùjiàn,Enclosure,8142,139730,"0,001642%",6,5
,2692,改革,gǎigé,reform,216,4907306,"0,057675%",5,5
,2693,干脆,gāncuì,simply,3700,375577,"0,004414%",5,5
,2694,干扰,gānrǎo,interfere,3305,429878,"0,005052%",6,5
,2695,干预,gānyù,intervene,3944,346642,"0,004074%",6,5
,2696,感想,gǎnxiǎng,Feel,11988,83503,"0,000981%",5,5
,2697,钢笔,gāng bǐ,pen; fountain pen,19949,40088,"0,000471%", ,5
,2698,钢琴,gāng qín,piano; pianoforte,4884,266860,"0,003136%", ,5
,2699,高大,gāo dà,tall; lofty,5750,215145,"0,002529%", ,5
,2700,高度,gāo dù,altitude; height; high; highly,815,1852073,"0,021767%", ,5
,2701,高跟鞋,gāo gēn xié,high-heeled shoes,7379,158502,"0,001863%", ,5
,2702,高温,gāo wēn,high temperature,3521,398620,"0,004685%", ,5
,2703,高于,gāo yú,higher than; overtop,1545,972981,"0,011435%", ,5
,2704,高原,gāo yuán,plateau; highland; tableland,6052,202460,"0,002379%", ,5
,2705,搞好,gǎo hǎo,do well; make a good job of,2706,538616,"0,006330%", ,5
,2706,歌曲,gē qǔ,song,2035,741792,"0,008718%", ,5
,2707,隔壁,gébì,next door,5343,237339,"0,002789%",5,5
,2708,个儿,gèr,height; size; stature,23939,30144,"0,000354%", ,5
,2709,跟前,gēnqián,In front of,10251,103343,"0,001215%",6,5
,2710,跟随,gēnsuí,follow,4498,294600,"0,003462%",6,5
,2711,更换,gēng huàn,change; replace,3247,439406,"0,005164%", ,5
,2712,更新,gēngxīn,renovate; renew,1365,1109228,"0,013037%",6,5
,2713,工艺,gōng yì,technology; craft,1672,896690,"0,010539%", ,5
,2714,工作日,gōng zuò rì,workday; working day,7552,154241,"0,001813%", ,5
,2715,公告,gōnggào,Notice,1187,1285428,"0,015108%",6,5
,2716,公认,gōngrèn,Accepted,5823,211643,"0,002487%",6,5
,2717,公式,gōngshì,formula,5617,221472,"0,002603%",6,5
,2718,公正,gōngzhèng,fair,2839,512231,"0,006020%",6,5
,2719,共计,gòngjì,count up to; sum to,4081,331733,"0,003899%",6,5
,2720,共享,gòng xiǎng,enjoy together; share,3286,432856,"0,005087%", ,5
,2721,沟通,gōutōng,Communicate,1456,1033194,"0,012143%",5,5
,2722,估计,gūjì,estimate,995,1545118,"0,018160%",4,5
,2723,古老,gǔ lǎo,ancient; old; age-old,4972,261486,"0,003073%", ,5
,2724,鼓励,gǔlì,encourage,1184,1290657,"0,015169%",4,5
,2725,鼓掌,gǔzhǎng,applause,7123,166239,"0,001954%",5,5
,2726,顾问,gùwèn,adviser,3058,470006,"0,005524%",6,5
,2727,关怀,guānhuái,Care,4097,330247,"0,003881%",6,5
,2728,关键,guānjiàn,crux,565,2455404,"0,028858%",4,5
,2729,冠军,guànjūn,Champion,495,2736575,"0,032163%",5,5
,2730,光荣,guāngróng,glory,3474,404686,"0,004756%",6,5
,2731,光线,guāng xiàn,light; optical line,6247,194792,"0,002289%", ,5
,2732,广泛,guǎngfàn,widely,998,1543446,"0,018140%",5,5
,2733,规划,guīhuà,Plan,471,2822481,"0,033172%",6,5
,2734,柜子,guì zi,cupboard; cabinet; chest,14043,66992,"0,000787%", ,5
,2735,国籍,guójí,nationality,11232,91766,"0,001079%",4,5
,2736,国民,guó mín,national,3742,369773,"0,004346%", ,5
,2737,过度,guòdù,excessive,2831,512822,"0,006027%",6,5
,2738,过敏,guòmǐn,allergy,5452,230558,"0,002710%",5,5
,2739,过于,guòyú,too; excessively,2779,523033,"0,006147%",6,5
,2740,好运,hǎo yùn,good luck,2109,709508,"0,008339%", ,5
,2741,号召,hàozhào,call,3802,362591,"0,004261%",6,5
,2742,合并,hébìng,merge,2199,677804,"0,007966%",6,5
,2743,合成,héchéng,Synthesis,3353,424399,"0,004988%",6,5
,2744,盒饭,hé fàn,box lunch,17536,48718,"0,000573%", ,5
,2745,盒子,hézi,Box,8097,141027,"0,001657%",4,5
,2746,贺卡,hè kǎ,greeting card,15254,59474,"0,000699%", ,5
,2747,后悔,hòuhuǐ,regret,2225,669266,"0,007866%",4,5
,2748,胡同儿,hú tòngr,alley; lane; bystreet,—,—,—, ,5
,2749,胡子,hú zi,mustache; beard,7446,157156,"0,001847%", ,5
,2750,华语,huá yǔ,the Chinese language; Chinese,10456,100652,"0,001183%", ,5
,2751,化石,huàshí,Fossil,8266,136951,"0,001610%",6,5
,2752,划分,huàfēn,Divide,3800,362790,"0,004264%",6,5
,2753,画面,huà miàn,frames; picture,1980,761367,"0,008948%", ,5
,2754,环节,huánjié,link,1597,940675,"0,011056%",6,5
,2755,慌忙,huāng máng,hurried; hurry; hurry-scurry,14631,63327,"0,000744%", ,5
,2756,灰色,huī sè,gray; pessimistic,5072,254372,"0,002990%", ,5
,2757,恢复,huīfù,recovery,669,2154886,"0,025326%",5,5
,2758,回报,huíbào,Return,2296,646073,"0,007593%",6,5
,2759,回避,huíbì,obviate; slide over,4774,274995,"0,003232%",6,5
,2760,回顾,huígù,review; look back,3852,357074,"0,004197%",6,5
,2761,回收,huíshōu,recovery,3502,401189,"0,004715%",6,5
,2762,回头,huí tóu,turn one’s head; repent; later,2447,595073,"0,006994%", ,5
,2763,回信,huí xìn,reply; write in reply; letter in reply,15832,56626,"0,000666%", ,5
,2764,回忆,huíyì,Memory,1253,1216463,"0,014297%",4,5
,2765,汇款,huì kuǎn,remittance; remit money,10612,98786,"0,001161%", ,5
,2766,会谈,huì tán,talks; conversation,2136,696103,"0,008181%", ,5
,2767,活力,huólì,energy; vigor,2213,672858,"0,007908%",6,5
,2768,活泼,huópō,lively,5479,228591,"0,002687%",4,5
,2769,火柴,huǒchái,Match,13273,72554,"0,000853%",5,5
,2770,火腿,huǒ tuǐ,ham,10908,95354,"0,001121%", ,5
,2771,火灾,huǒ zāi,fire; fire disaster,3451,407281,"0,004787%", ,5
,2772,或是,huò shì,or,2192,679270,"0,007983%", ,5
,2773,机器人,jī qì rén,robot,5562,224628,"0,002640%", ,5
,2774,机制,jī zhì,mechanism; machine-processed; machine-made,589,2361434,"0,027754%", ,5
,2775,肌肉,jīròu,muscle,2816,515743,"0,006061%",5,5
,2776,基地,jīdì,base,856,1774977,"0,020861%",6,5
,2777,基金,jījīn,fund,215,4913266,"0,057745%",6,5
,2778,即使,jíshǐ,even if,658,2178086,"0,025599%",4,5
,2779,集团,jítuán,group,466,2849908,"0,033495%",6,5
,2780,记忆,jìyì,memory,1478,1016795,"0,011950%",5,5
,2781,技能,jì néng,technical ability; skill,1803,839451,"0,009866%", ,5
,2782,继承,jìchéng,inherit,3738,370426,"0,004354%",6,5
,2783,加热,jiā rè,heat; heating; calefaction,5849,210829,"0,002478%", ,5
,2784,加上,jiā shàng,plus; add; with the addition of,876,1739983,"0,020450%", ,5
,2785,加速,jiā sù,speed up; accelerate; quicken,1967,768727,"0,009035%", ,5
,2786,加以,jiā yǐ,moreover; in addition,2173,683976,"0,008039%", ,5
,2787,驾驶,jiàshǐ,Drive,2220,670977,"0,007886%",5,5
,2788,驾照,jià zhào,driving license,13268,72613,"0,000853%", ,5
,2789,坚定,jiāndìng,"Firm, steadfast",2640,552849,"0,006498%",6,5
,2790,艰苦,jiānkǔ,hard,4138,326454,"0,003837%",5,5
,2791,艰难,jiānnán,difficult,2975,485637,"0,005708%",6,5
